order_id,payment_id,category,ground_truth_label,ground_truth_reason
ORD00021,PAY00021,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹2060.17 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00022,PAY00022,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00023,PAY00023,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00024,PAY00024,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00025,PAY00025,refund_match,MATCHED_AFTER_REFUND,₹4129.0 refunded (100%); settlement reflects fee on net amount.
ORD00026,PAY00026,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00027,PAY00027,refund_match,MATCHED_AFTER_REFUND,₹25755.0 refunded (100%); settlement reflects fee on net amount.
ORD00028,PAY00028,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00029,PAY00029,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00030,PAY00030,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00031,PAY00031,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00032,PAY00032,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00033,PAY00033,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00034,PAY00034,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00035,PAY00035,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00036,PAY00036,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00037,PAY00037,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00038,PAY00038,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00039,PAY00039,refund_match,MATCHED_AFTER_REFUND,₹1052.5 refunded (50%); settlement reflects fee on net amount.
ORD00040,PAY00040,refund_match,MATCHED_AFTER_REFUND,₹2478.75 refunded (25%); settlement reflects fee on net amount.
ORD00041,PAY00041,refund_match,MATCHED_AFTER_REFUND,₹11957.25 refunded (25%); settlement reflects fee on net amount.
ORD00042,PAY00042,refund_match,MATCHED_AFTER_REFUND,₹1860.0 refunded (100%); settlement reflects fee on net amount.
ORD00043,PAY00043,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00044,PAY00044,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00045,PAY00045,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00046,PAY00046,refund_match,MATCHED_AFTER_REFUND,₹630.0 refunded (100%); settlement reflects fee on net amount.
ORD00047,PAY00047,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00048,PAY00048,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00049,PAY00049,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00050,PAY00050,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00051,PAY00051,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00052,PAY00052,refund_match,MATCHED_AFTER_REFUND,₹1890.0 refunded (100%); settlement reflects fee on net amount.
ORD00053,PAY00053,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00054,PAY00054,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00055,PAY00055,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00056,PAY00056,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00057,PAY00057,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00058,PAY00058,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY98056, not PAY00058 — likely a data entry error."
ORD00059,PAY00059,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00060,PAY00060,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY96561, not PAY00060 — likely a data entry error."
ORD00061,PAY00061,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00062,PAY00062,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00063,PAY00063,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00064,PAY00064,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00065,PAY00065,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00066,PAY00066,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00067,PAY00067,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00068,PAY00068,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00069,PAY00069,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00070,PAY00070,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00071,PAY00071,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹697.01 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00072,PAY00072,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00073,PAY00073,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00074,PAY00074,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00075,PAY00075,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00076,PAY00076,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00077,PAY00077,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00078,PAY00078,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00079,PAY00079,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00080,PAY00080,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00081,PAY00081,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00082,PAY00082,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00083,PAY00083,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00084,PAY00084,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00085,PAY00085,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00086,PAY00086,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00087,PAY00087,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00088,PAY00088,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00089,PAY00089,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00090,PAY00090,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00091,PAY00091,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00092,PAY00092,refund_match,MATCHED_AFTER_REFUND,₹1220.0 refunded (100%); settlement reflects fee on net amount.
ORD00093,PAY00093,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00094,PAY00094,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00095,PAY00095,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00096,PAY00096,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00097,PAY00097,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00098,PAY00098,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00099,PAY00099,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY93770, not PAY00099 — likely a data entry error."
ORD00100,PAY00100,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00101,PAY00101,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00102,PAY00102,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00103,PAY00103,refund_match,MATCHED_AFTER_REFUND,₹771.25 refunded (25%); settlement reflects fee on net amount.
ORD00104,PAY00104,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00105,PAY00105,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹2083.61 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00106,PAY00106,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹490.32 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00107,PAY00107,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00108,PAY00108,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00109,PAY00109,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00110,PAY00110,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00111,PAY00111,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00112,PAY00112,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00113,PAY00113,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹310.94 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00114,PAY00114,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00115,PAY00115,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00116,PAY00116,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY90536, not PAY00116 — likely a data entry error."
ORD00117,PAY00117,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY91627, not PAY00117 — likely a data entry error."
ORD00118,PAY00118,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00119,PAY00119,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00120,PAY00120,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00121,PAY00121,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹71.25 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00122,PAY00122,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00123,PAY00123,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00124,PAY00124,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00125,PAY00125,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00126,PAY00126,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00127,PAY00127,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00128,PAY00128,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00129,PAY00129,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00130,PAY00130,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00131,PAY00131,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00132,PAY00132,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00133,PAY00133,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00134,PAY00134,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00135,PAY00135,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹4030.75 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00136,PAY00136,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00137,PAY00137,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00138,PAY00138,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00139,PAY00139,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00140,PAY00140,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00141,PAY00141,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00142,PAY00142,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00143,PAY00143,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00144,PAY00144,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00145,PAY00145,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00146,PAY00146,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00147,PAY00147,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹408.95 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00148,PAY00148,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00149,PAY00149,refund_match,MATCHED_AFTER_REFUND,₹464.5 refunded (50%); settlement reflects fee on net amount.
ORD00150,PAY00150,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00151,PAY00151,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00152,PAY00152,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00153,PAY00153,refund_match,MATCHED_AFTER_REFUND,₹10160.0 refunded (50%); settlement reflects fee on net amount.
ORD00154,PAY00154,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00155,PAY00155,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00156,PAY00156,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00157,PAY00157,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00158,PAY00158,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00159,PAY00159,refund_match,MATCHED_AFTER_REFUND,₹198.75 refunded (25%); settlement reflects fee on net amount.
ORD00160,PAY00160,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00161,PAY00161,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00162,PAY00162,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00163,PAY00163,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00164,PAY00164,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00165,PAY00165,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00166,PAY00166,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00167,PAY00167,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00168,PAY00168,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00169,PAY00169,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00170,PAY00170,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00171,PAY00171,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00172,PAY00172,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00173,PAY00173,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00174,PAY00174,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00175,PAY00175,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00176,PAY00176,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00177,PAY00177,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00178,PAY00178,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00179,PAY00179,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00180,PAY00180,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00181,PAY00181,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00182,PAY00182,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00183,PAY00183,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00184,PAY00184,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00185,PAY00185,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹59.69 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00186,PAY00186,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00187,PAY00187,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00188,PAY00188,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00189,PAY00189,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00190,PAY00190,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00191,PAY00191,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 1 day(s) after payment."
ORD00192,PAY00192,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00193,PAY00193,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00194,PAY00194,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00195,PAY00195,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00196,PAY00196,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00197,PAY00197,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY93178, not PAY00197 — likely a data entry error."
ORD00198,PAY00198,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00199,PAY00199,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00200,PAY00200,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00201,PAY00201,refund_match,MATCHED_AFTER_REFUND,₹499.75 refunded (25%); settlement reflects fee on net amount.
ORD00202,PAY00202,failed_payment,NOT_A_MISMATCH,Payment failed; no settlement is expected.
ORD00203,PAY00203,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00204,PAY00204,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹589.28 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00205,PAY00205,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00206,PAY00206,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00207,PAY00207,refund_match,MATCHED_AFTER_REFUND,₹19105.0 refunded (100%); settlement reflects fee on net amount.
ORD00208,PAY00208,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00209,PAY00209,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00210,PAY00210,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00211,PAY00211,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 3 day(s) after payment."
ORD00212,PAY00212,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00213,PAY00213,refund_match,MATCHED_AFTER_REFUND,₹10105.0 refunded (100%); settlement reflects fee on net amount.
ORD00214,PAY00214,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00215,PAY00215,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00216,PAY00216,missing_settlement,UNRESOLVED_MISSING_SETTLEMENT,Payment was captured but no settlement record arrived within the expected window.
ORD00217,PAY00217,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00218,PAY00218,refund_match,MATCHED_AFTER_REFUND,₹4199.75 refunded (25%); settlement reflects fee on net amount.
ORD00219,PAY00219,amount_mismatch,UNRESOLVED_AMOUNT_MISMATCH,"Settlement is ₹9502.64 short of the fee-adjusted expected amount, with no matching refund or adjustment record."
ORD00220,PAY00220,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00221,PAY00221,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00222,PAY00222,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00223,PAY00223,refund_match,MATCHED_AFTER_REFUND,₹6200.0 refunded (50%); settlement reflects fee on net amount.
ORD00224,PAY00224,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00225,PAY00225,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00226,PAY00226,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00227,PAY00227,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00228,PAY00228,refund_match,MATCHED_AFTER_REFUND,₹184.5 refunded (50%); settlement reflects fee on net amount.
ORD00229,PAY00229,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00230,PAY00230,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00231,PAY00231,broken_reference,UNRESOLVED_BROKEN_REFERENCE,"A settlement of the right amount exists but references PAY91229, not PAY00231 — likely a data entry error."
ORD00232,PAY00232,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00233,PAY00233,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00234,PAY00234,delayed_match,MATCHED_DELAYED,"Correct fee-adjusted amount, settled 2 day(s) after payment."
ORD00235,PAY00235,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00236,PAY00236,refund_match,MATCHED_AFTER_REFUND,₹969.0 refunded (100%); settlement reflects fee on net amount.
ORD00237,PAY00237,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
ORD00238,PAY00238,exact_match,MATCHED_EXACT,"Settlement equals order amount minus standard 2% gateway fee, same-day."
